data	data	Argentina	Brazil	South_x0020_America_x0020__x0028_other_x0029_	Caribbean	Central_x0020_America	USA	Mexico	Canada	North_x0020_America_x0020__x0028_other_x0029_	European_x0020_Union	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Switzerland	Central_x0020_Asia	Iran	Russia	Western_x0020_Asia	China	Korea	Mongolia	Japan	India	South_x002D_Eastern_x0020_Asia	Southern_x0020_Asia_x0020__x0028_other_x0029_	Eastern_x0020_Africa	Middle_x0020_Africa	Southern_x0020_Africa	Western_x0020_Africa	Algeria	Egypt	Morocco	Northern_x0020_Africa_x0020__x0028_other_x0029_	Australia_x0020_and_x0020_New_x0020_Zealand	Melanesia	Polynesia	
1	Argentina	0	4625483	520423	50600	0	17	0	0	0	41180	1460	0	57990	1327	0	0	0	611344	0	0	0	0	0	45420	583506	1000812	195899	0	93644	342316	858328	229326	81975	0	0	0
2	Brazil	0	0	10	0	0	5	0	0	0	532119	0	0	27900	0	0	0	0	74713	0	0	0	10	0	0	0	0	0	0	0	262321	25510	303133	97711	0	0	0
3	South_x0020_America_x0020__x0028_other_x0029_	70	91185	0	91566	0	24	0	8	0	6	0	0	0	11649	0	0	0	0	0	0	0	11	0	38146	0	0	0	0	0	0	0	0	0	2	0	0
4	Caribbean	0	0	0	0	0	0	0	0	0	7906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Central_x0020_America	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	USA	0	52799	2544301	1255405	1074621	0	2863039	13958	0	1486966	57356	1416	9000	1127	3369	0	0	2274395	8043876	1455219	74500	3119609	0	2228693	500909	722734	154701	383485	2616183	408741	2972219	208736	223858	0	0	108
7	Mexico	0	0	6	0	66660	12601	0	0	0	0	0	0	0	238275	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
8	Canada	0	0	1858662	250385	248540	1100604	756838	0	175	2382726	0	26150	0	3422	0	468	0	342373	5695374	359167	0	1181954	0	1535587	211753	126656	29495	35198	343605	624132	0	451146	366522	35434	0	0
9	North_x0020_America_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	European_x0020_Union	201	9500	28	26250	0	18	0	1200	2	0	230932	171444	303554	134588	52	0	39279	751799	823060	33168	4320	2590	0	40695	37649	77538	345385	52750	708303	2761599	1186591	797357	501732	0	453	0
11	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	1024	0	53232	0	0	0	897999	0	0	5887	20	60	0	1203	478170	0	107679	0	0	0	377836	58400	42450	0	0	35669	45187	142007	76033	220868	0	0	0
12	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	1	0	0	0	17297	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	Switzerland	1	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	Central_x0020_Asia	0	0	0	0	0	9524	0	0	0	37153	349803	21000	0	0	0	0	1358473	567170	0	972	37196	0	0	0	21287	0	0	0	0	0	3000	0	0	0	0	0
18	Iran	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	Russia	0	0	0	0	0	0	0	0	0	759164	86694	0	152161	0	631	105250	0	1672526	0	34702	380	0	0	0	152848	0	0	0	52677	156555	1035546	236754	226305	0	0	0
20	Western_x0020_Asia	0	4	1	1	0	10	0	1	0	23915	0	2	54	8	3	0	0	0	0	24001	0	0	0	0	0	0	5	0	12	114383	245326	0	9360	8	0	0
21	China	0	0	0	0	0	178	0	10	0	0	4200	0	0	0	0	0	0	0	0	654768	0	79610	0	781704	47580	0	0	0	6	0	0	0	0	0	0	0
22	Korea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	Mongolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
